6294859,38053955,39120733,1687680,1677192,46493180,39626432,38528850,37980517,39660,39883654
17866318,3434750,17782843,39120733,2850681,40106480,37419037,38053955,30741795,191890,35723752
16185399,38053955,39120733,33209238,22144990,34697572,30741795,31316475,36286172,1866834,39626432
110001,39120733,1687680,38053955,39626432,2850681,33785882,38528850,40675309,39790655,39660
9581445,38053955,31316475,39120733,39540142,30741795,38850871,38500267,38221120,63123,35195177
18565954,39120733,37253608,36524320,38053955,22144990,8135890,3434750,31316475,37656763,3382
14596827,39120733,12684530,31316475,39626432,4051607,159599,1342873,14533,33785882,15658254
6610523,38053955,39120733,1687680,1677192,46493180,39626432,38528850,37980517,39660,39883654
1169249,39120733,38053955,1687680,40675309,39626432,33785882,2731583,46493180,18836,38528850
3826175,38053955,39120733,1687680,36670758,33785882,36524320,92656,23805,1342873,35397113
19304884,40013458,40186398,39837608,17782843,30741795,39407093,34320167,16477368,6844407,32468604
6758766,39120733,1687680,1677192,46493180,39626432,38528850,37980517,39660,39883654,3434750
16802565,39837608,39120733,38053955,36584679,39790655,46945,22144990,39626432,5043324,36914424
17328083,38053955,39120733,16477368,34140532,35793706,46493180,345802,6844407,1687680,16921969
19169680,31316475,38053955,33653306,37698065,1342873,39626432,34320167,35842433,35689659,38874307
5832145,38053955,39626432,39120733,38528850,1687680,33785882,39883654,8209,40675309,39320762
2300502,39120733,33785882,39626432,534366,33028800,38500267,38963682,31316475,25226624,249623
17463007,38053955,39120733,32112949,33785882,1687680,22144990,37067268,36584679,30069822,19831
15917668,38053955,39120733,33209238,22144990,34697572,30741795,33029735,31316475,36286172,1866834
14127193,38053955,39120733,12684530,31316475,39626432,4051607,159599,1342873,14533,33785882
18175440,39120733,3434750,38053955,30741795,19394613,29288667,2711314,36914424,36856978,83688
4628406,38053955,39120733,2850681,39626432,1687680,38528850,33785882,35072567,8687,30294906
7867282,39120733,1687680,35723752,30741795,32314211,12520860,40199989,32168061,31316475,35436254
9850173,38053955,31316475,39120733,39540142,30741795,38850871,38500267,38221120,63123,35195177
14129502,38053955,1687680,39120733,12684530,31316475,39626432,4051607,159599,1342873,14533
12068706,39120733,149286,39026706,39660,39822702,2711314,26413,38053955,679716,34697572
16185576,38053955,39120733,33209238,22144990,34697572,30741795,31316475,36286172,1866834,39626432
897961,39120733,38053955,1687680,40675309,39626432,33785882,2731583,46493180,18836,38528850
16808950,39837608,39120733,38053955,36584679,39790655,46945,22144990,39626432,5043324,36914424
2449701,38053955,39120733,33785882,1687680,39626432,33028800,38500267,38963682,31316475,249623
14727800,39120733,30741795,38053955,39626432,39822702,39458161,1687680,3434750,35723752,22144990
17993029,3434750,17782843,39120733,2850681,40106480,37419037,38053955,30741795,191890,35723752
4852058,38053955,39120733,2850681,39626432,1687680,38528850,33785882,35072567,8687,30294906
17501110,38053955,39120733,32112949,33785882,1687680,22144990,37067268,36584679,30069822,19831
7899452,39120733,1687680,30741795,32314211,12520860,40199989,32168061,31316475,35436254,45139
18500830,37253608,36524320,38053955,22144990,8135890,3434750,31316475,37656763,3382,12520860
6060594,38053955,39626432,39120733,38528850,1687680,33785882,39883654,8209,40675309,39320762
19170631,31316475,38053955,33653306,37698065,1342873,39626432,34320167,35842433,35689659,38874307
4981402,38053955,39120733,2850681,39626432,1687680,38528850,33785882,35072567,8687,30294906
4002680,38053955,39120733,1687680,36670758,33785882,36524320,92656,23805,1342873,35397113
11276861,38053955,1687680,39120733,39626432,30741795,36524320,656933,36640339,22144990,38151849
18326449,39120733,3434750,38053955,30741795,19394613,29288667,2711314,36914424,36856978,83688
392459,39120733,38053955,39626432,1687680,39883654,33785882,38528850,39320762,39660,2850681
1847279,39120733,38053955,33785882,1687680,38528850,39626432,59533,2850681,46493180,83688
2437760,38053955,39120733,33785882,1687680,39626432,534366,33028800,38500267,38963682,31316475
15349585,39120733,38053955,39626432,19281864,37067268,8135890,534366,16477368,3434750,1687680
4599174,38053955,39120733,2850681,39626432,1687680,38528850,33785882,35072567,8687,30294906
15713403,39120733,38053955,39626432,19281864,37067268,8135890,534366,16477368,3434750,1687680
16734816,39837608,39120733,38053955,36584679,39790655,46945,22144990,39626432,5043324,36914424
